Bench start: 2026-05-17T17:56:22+02:00
Endpoint:    http://127.0.0.1:8081
Output:      /home/eh/llamacpp-upgrade-2026-05-17/bench-results/bench-27b-20260517-175622.jsonl

--- warmup qwen36-27b ---
--- warmup qwen36-27b-mtp ---

=== Measurement runs ===
alias                  prompt  prompt_t/s    gen_t/s    out_n    draft_n   %MTP_of_out
qwen36-27b             0        158.69      10.27      400          0          0.0%
qwen36-27b             1        124.03      10.27      400          0          0.0%
qwen36-27b             2        118.73      10.27      400          0          0.0%
qwen36-27b             3        110.29      10.27      400          0          0.0%
qwen36-27b             4        108.23      10.27      400          0          0.0%
qwen36-27b-mtp         0        140.55      16.40      400        375         52.8%
qwen36-27b-mtp         1        111.74      21.74      400        282         64.2%
qwen36-27b-mtp         2        106.93      17.03      400        362         54.5%
qwen36-27b-mtp         3         98.03      15.26      400        403         49.2%
qwen36-27b-mtp         4         97.55      18.25      400        337         57.5%

Bench end: 2026-05-17T18:01:42+02:00
