build,date,model,variant,n_max,gen_tps_mean,mtp_acceptance_pct,vs_baseline_pct,prompt_set,notes
b9199,2026-05-17,moe,baseline,0,53.85,0,0,"5 prompts (Bauhaus/Python/Vulkan/Dialog/Linux)",PR #22673 MTP merge
b9199,2026-05-17,moe,mtp,2,59.06,54.2,9.7,"5 prompts",first MTP run with sweet-spot
b9219,2026-05-18,moe,baseline,0,52.46,0,0,"5 prompts",post PR #23198 logit-copy + #23237 bid-fix Quants
b9219,2026-05-18,moe,mtp,2,56.87,54.1,8.4,"5 prompts",presence-penalty=1.5 introduced
b9235,2026-05-19,moe,baseline,0,52.50,0,0,"5 prompts",post PR #23269 MTP clean-up
b9235,2026-05-19,moe,mtp,2,59.77,54.9,13.8,"5 prompts",new defaults n_max=3 in upstream
b9295,2026-05-23,moe,baseline,0,52.51,0,0,"5 prompts",post PR #23287 backend-sampling + #23433 logit-skip
b9295,2026-05-23,moe,mtp,2,61.65,54.6,17.4,"5 prompts","best b9295 result, n=2 sweet-spot stable"
b9199,2026-05-17,dense,baseline,0,10.27,0,0,"5 prompts",
b9199,2026-05-17,dense,mtp,2,17.36,55.1,69,"5 prompts",
b9199,2026-05-17,dense,mtp,4,18.52,63.7,80,"5 prompts",n=4 identified as sweet-spot
b9219,2026-05-18,dense,baseline,0,10.21,0,0,"5 prompts",
b9219,2026-05-18,dense,mtp,4,16.91,60.7,65.6,"5 prompts",presence-penalty=1.5 cost 14.4pp
b9235,2026-05-19,dense,baseline,0,10.21,0,0,"5 prompts",
b9235,2026-05-19,dense,mtp,3,17.37,58.8,70,"5 prompts",n=3 ≈ n=4 within noise
b9235,2026-05-19,dense,mtp,4,17.27,61.0,69,"5 prompts",
b9295,2026-05-23,dense,baseline,0,10.22,0,0,"5 prompts","best b9295 result"
b9295,2026-05-23,dense,mtp,3,18.52,60.3,81.3,"5 prompts","best b9295 result, n=3 = upstream default"
b9295,2026-05-23,dense,mtp,3,18.71,59.9,83.2,"5 prompts","paging-free validation (only 2 backends loaded), +1% noise"
