cell_id,model,n_max,prompt,workload,penalty,chain,n_runs,cv_flags,draft_n_accepted_cv_pct,draft_n_accepted_iqr,draft_n_accepted_mean,draft_n_accepted_median,draft_n_accepted_stdev,draft_n_cv_pct,draft_n_iqr,draft_n_mean,draft_n_median,draft_n_stdev,mtp_pct_cv_pct,mtp_pct_iqr,mtp_pct_mean,mtp_pct_median,mtp_pct_stdev,predicted_tps_cv_pct,predicted_tps_iqr,predicted_tps_mean,predicted_tps_median,predicted_tps_stdev,prompt_tps_cv_pct,prompt_tps_iqr,prompt_tps_mean,prompt_tps_median,prompt_tps_stdev,source_csv,temp_max_c_cv_pct,temp_max_c_iqr,temp_max_c_mean,temp_max_c_median,temp_max_c_stdev,vram_peak_gb_cv_pct,vram_peak_gb_iqr,vram_peak_gb_mean,vram_peak_gb_median,vram_peak_gb_stdev
wave1-dense-n0-long-p15,dense,0,long,,,,4,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.001,10.164,10.164,0.001,0.38,0.129,32.86,32.892,0.125,wave1-nmax-20260526-155640.csv,1.18,1.25,81.25,81.5,0.957,0.0,0.0,26.37,26.37,0.0
wave1-dense-n0-medium-p15,dense,0,medium,,,,4,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.07,0.006,10.327,10.325,0.008,0.28,0.147,33.562,33.551,0.094,wave1-nmax-20260526-155640.csv,0.0,0.0,79.0,79.0,0.0,0.0,0.0,26.37,26.37,0.0
wave1-dense-n1-long-p15,dense,1,long,,,,4,,2.35,3.75,164.25,165.0,3.862,1.45,2.75,234.25,233.5,3.403,2.3,0.925,41.075,41.25,0.943,1.61,0.24,15.114,15.161,0.244,0.64,0.123,30.893,30.891,0.199,wave1-nmax-20260526-155640.csv,0.6,0.25,82.75,83.0,0.5,0.0,0.0,27.84,27.84,0.0
wave1-dense-n1-medium-p15,dense,1,medium,,,,4,draft_n=26.0%;draft_n_accepted=29.7%,29.75,23.25,84.75,92.0,25.211,26.01,33.0,126.5,134.5,32.909,3.49,0.875,39.775,40.4,1.389,2.51,0.235,14.975,15.122,0.376,0.16,0.035,31.846,31.86,0.05,wave1-nmax-20260526-155640.csv,1.02,0.5,80.0,80.0,0.816,0.0,0.0,27.84,27.84,0.0
wave1-dense-n16-long-p15,dense,16,long,,,,4,predicted_tps=6.3%;draft_n=6.3%,4.07,9.5,240.0,238.5,9.764,6.31,148.75,2485.75,2497.5,156.955,4.03,2.325,59.975,59.6,2.417,6.34,0.391,6.479,6.417,0.411,0.31,0.101,22.947,22.935,0.07,wave1-nmax-20260526-155640.csv,0.0,0.0,89.0,89.0,0.0,0.0,0.0,30.04,30.04,0.0
wave1-dense-n16-medium-p15,dense,16,medium,,,,4,predicted_tps=5.7%;draft_n=13.9%;draft_n_accepted=18.2%,18.25,13.5,101.5,93.5,18.52,13.87,124.0,1108.0,1064.0,153.675,2.8,1.75,60.2,60.1,1.687,5.7,0.57,6.317,6.312,0.36,0.11,0.02,23.395,23.388,0.025,wave1-nmax-20260526-155640.csv,0.57,0.25,87.25,87.0,0.5,0.0,0.0,30.04,30.04,0.0
wave1-dense-n2-long-p15,dense,2,long,,,,4,,3.63,8.75,206.75,208.0,7.5,3.86,18.0,383.0,380.5,14.765,3.7,2.275,51.675,52.0,1.91,3.81,0.752,16.56,16.649,0.631,0.51,0.16,29.822,29.863,0.152,wave1-nmax-20260526-155640.csv,0.97,0.5,84.0,84.0,0.816,0.0,0.0,27.99,27.99,0.0
wave1-dense-n2-medium-p15,dense,2,medium,,,,4,predicted_tps=5.2%;draft_n=10.0%;draft_n_accepted=15.9%,15.91,19.75,98.25,101.5,15.628,10.0,21.0,184.0,181.0,18.403,4.66,2.4,51.4,51.55,2.393,5.23,0.592,16.653,16.63,0.87,0.55,0.194,30.671,30.722,0.168,wave1-nmax-20260526-155640.csv,0.62,0.25,81.25,81.0,0.5,0.0,0.0,27.99,27.99,0.0
wave1-dense-n3-long-p15,dense,3,long,,,,4,predicted_tps=5.3%;draft_n=5.5%,3.96,11.75,227.25,226.5,8.995,5.49,36.0,512.0,514.5,28.131,3.97,2.975,56.825,56.65,2.256,5.3,1.139,16.809,16.717,0.891,0.28,0.051,28.868,28.862,0.082,wave1-nmax-20260526-155640.csv,0.58,0.25,86.25,86.0,0.5,0.0,0.0,28.14,28.14,0.0
wave1-dense-n3-medium-p15,dense,3,medium,,,,4,predicted_tps=7.7%;draft_n=28.8%;draft_n_accepted=34.7%;mtp_pct=8.3%,34.69,19.5,78.5,66.5,27.234,28.75,75.0,192.0,186.0,55.209,8.35,5.775,55.025,56.1,4.594,7.71,1.325,16.249,16.581,1.253,0.27,0.114,29.66,29.668,0.08,wave1-nmax-20260526-155640.csv,0.7,1.0,82.5,82.5,0.577,0.0,0.0,28.14,28.14,0.0
wave1-dense-n4-long-p15,dense,4,long,,,,4,,2.22,5.25,236.25,237.5,5.252,2.87,19.0,647.0,643.5,18.565,2.25,1.35,59.05,59.4,1.33,3.11,0.514,16.288,16.392,0.506,0.25,0.088,28.369,28.385,0.072,wave1-nmax-20260526-155640.csv,0.65,1.0,88.5,88.5,0.577,0.0,0.0,28.28,28.28,0.0
wave1-dense-n4-medium-p15,dense,4,medium,,,,4,predicted_tps=6.5%;draft_n=27.6%;draft_n_accepted=17.7%;mtp_pct=5.2%,17.72,28.0,107.5,107.0,19.053,27.57,78.0,318.0,298.0,87.666,5.21,2.9,57.85,58.7,3.016,6.48,1.308,16.007,16.262,1.037,0.37,0.154,29.159,29.148,0.108,wave1-nmax-20260526-155640.csv,0.59,0.25,84.25,84.0,0.5,0.0,0.0,28.28,28.28,0.0
wave1-dense-n6-long-p15,dense,6,long,,,,4,predicted_tps=6.3%;draft_n=5.9%,4.23,8.75,237.75,235.0,10.046,5.9,53.0,956.5,972.0,56.406,4.27,2.2,59.4,58.7,2.535,6.35,0.75,13.955,13.692,0.886,0.39,0.097,27.292,27.322,0.107,wave1-nmax-20260526-155640.csv,0.0,0.0,91.0,91.0,0.0,0.0,0.0,28.58,28.58,0.0
wave1-dense-n6-medium-p15,dense,6,medium,,,,4,predicted_tps=5.4%;draft_n=20.3%;draft_n_accepted=29.6%;mtp_pct=5.9%,29.58,30.5,92.0,97.0,27.215,20.33,90.0,456.0,474.0,92.693,5.95,3.775,54.175,54.7,3.221,5.38,0.761,12.567,12.71,0.676,0.57,0.211,27.947,27.978,0.159,wave1-nmax-20260526-155640.csv,1.1,1.25,87.25,87.5,0.957,0.0,0.0,28.57,28.57,0.0
wave1-dense-n8-long-p15,dense,8,long,,,,4,,2.64,8.0,244.5,243.0,6.455,3.98,71.5,1222.5,1229.0,48.618,2.58,1.975,61.125,60.75,1.578,4.14,0.499,8.847,8.777,0.366,0.23,0.053,26.211,26.204,0.059,wave1-nmax-20260526-155640.csv,0.55,0.25,91.25,91.0,0.5,0.0,0.0,28.87,28.87,0.0
wave1-dense-n8-medium-p15,dense,8,medium,,,,4,draft_n=12.9%;draft_n_accepted=13.0%,12.98,8.0,110.5,117.5,14.341,12.88,60.0,620.0,632.0,79.867,1.44,0.5,59.1,59.3,0.849,4.56,0.562,8.287,8.301,0.378,0.42,0.094,26.786,26.766,0.114,wave1-nmax-20260526-155640.csv,1.08,1.25,88.75,88.5,0.957,0.0,0.0,28.87,28.87,0.0
wave1-moe-n0-long-p15,moe,0,long,,,,4,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.081,51.641,51.647,0.052,0.49,0.738,103.109,103.108,0.504,wave1-nmax-20260526-155640.csv,0.8,1.0,72.5,72.5,0.577,0.0,0.0,31.67,31.67,0.0
wave1-moe-n0-medium-p15,moe,0,medium,,,,4,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.14,0.071,52.996,52.984,0.073,1.33,1.147,105.533,106.113,1.402,wave1-nmax-20260526-155640.csv,0.72,0.25,69.75,70.0,0.5,0.0,0.0,31.67,31.67,0.0
wave1-moe-n1-long-p15,moe,1,long,,,,4,,2.75,6.0,158.5,157.5,4.359,1.94,6.25,239.75,240.5,4.646,2.68,1.45,39.65,39.4,1.063,1.71,1.253,57.781,57.648,0.988,0.77,0.589,93.488,93.635,0.719,wave1-nmax-20260526-155640.csv,0.0,0.0,75.0,75.0,0.0,0.0,0.0,32.7,32.7,0.0
