cell_id,model,n_max,prompt,run,elapsed_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,prompt_n,predicted_n,draft_n,draft_n_accepted,mtp_pct,vram_peak_gb,temp_max_c,thermal_flag
wave1-moe-n0-medium-p15,moe,0,medium,1,5419,506.321,4898.043,861.1137993486344,52.87826178741183,436,259,0,0,0,31.67,68,false
wave1-moe-n0-medium-p15,moe,0,medium,2,3224,38.659,3171.93,103.4687912258465,52.964598840453604,4,168,0,0,0,31.67,69,false
wave1-moe-n0-medium-p15,moe,0,medium,3,3623,37.6,3571.282,106.38297872340425,52.92217192593584,4,189,0,0,0,31.67,70,false
wave1-moe-n0-medium-p15,moe,0,medium,4,3031,37.581,2980.968,106.43676325802932,53.00291717321353,4,158,0,0,0,31.67,70,false
wave1-moe-n0-medium-p15,moe,0,medium,5,2876,37.792,2825.262,105.84250635055038,53.09242116306381,4,150,0,0,0,31.67,70,false
wave1-moe-n0-long-p15,moe,0,long,1,11598,3813.165,7749.838,976.0920390279466,51.61398212452957,3722,400,0,0,0,31.67,79,false
wave1-moe-n0-long-p15,moe,0,long,2,7806,38.595,7750.443,103.64036792330613,51.60995313429181,4,400,0,0,0,31.67,73,false
wave1-moe-n0-long-p15,moe,0,long,3,7796,38.676,7739.009,103.42331161443789,51.686204267238864,4,400,0,0,0,31.67,73,false
wave1-moe-n0-long-p15,moe,0,long,4,7796,38.994,7739.326,102.57988408473099,51.68408721896455,4,400,0,0,0,31.67,72,false
wave1-moe-n0-long-p15,moe,0,long,5,7811,38.913,7754.352,102.7934109423586,51.58393634954926,4,400,0,0,0,31.67,72,false
wave1-moe-n1-medium-p15,moe,1,medium,1,3156,622.347,2520.472,700.5737956477657,59.9094137923373,436,151,89,61,40.4,32.70,72,false
wave1-moe-n1-medium-p15,moe,1,medium,2,2770,40.456,2717.239,98.87284951552303,59.251320918034814,4,161,96,64,39.8,32.70,73,false
wave1-moe-n1-medium-p15,moe,1,medium,3,3328,40.515,3274.525,98.72886585215352,60.16139745459265,4,197,116,80,40.6,32.70,72,false
wave1-moe-n1-medium-p15,moe,1,medium,4,3444,41.092,3390.459,97.34254842791785,58.69411781708612,4,199,120,79,39.7,32.70,73,false
wave1-moe-n1-medium-p15,moe,1,medium,5,2731,40.332,2678.428,99.1768322919766,56.002998773907684,4,150,95,54,36.0,32.70,74,false
wave1-moe-n1-long-p15,moe,1,long,1,10767,3970.91,6761.331,937.316635229708,59.159949424159244,3722,400,231,167,41.8,32.70,80,false
wave1-moe-n1-long-p15,moe,1,long,2,7056,42.669,6995.58,93.74487332723993,57.178961572878876,4,400,244,155,38.8,32.70,75,false
wave1-moe-n1-long-p15,moe,1,long,3,6945,43.247,6882.768,92.49196476056143,58.116153268568695,4,400,238,160,40.0,32.70,75,false
wave1-moe-n1-long-p15,moe,1,long,4,7102,42.769,7040.318,93.52568449110338,56.815615431007515,4,400,243,155,38.8,32.70,75,false
wave1-moe-n1-long-p15,moe,1,long,5,6838,42.468,6777.93,94.1885655081473,59.01506802224278,4,400,234,164,41.0,32.70,75,false
wave1-moe-n2-medium-p15,moe,2,medium,1,3747,553.265,3180.575,788.0491265487606,51.24859498675554,436,163,176,75,46.0,33.25,75,false
wave1-moe-n2-medium-p15,moe,2,medium,2,3005,42.131,2949.492,94.94196672284066,57.6370439384138,4,170,164,87,51.2,32.76,74,false
wave1-moe-n2-medium-p15,moe,2,medium,3,4996,42.314,4939.932,94.5313607789384,59.51498927515602,4,294,274,157,53.4,32.76,75,false
wave1-moe-n2-medium-p15,moe,2,medium,4,2696,44.212,2638.122,90.47317470370035,58.753916611892855,4,155,146,82,52.9,32.76,72,false
wave1-moe-n2-medium-p15,moe,2,medium,5,3247,42.654,3191.545,93.77784029633797,54.20572168025204,4,173,178,83,48.0,32.76,73,false
wave1-moe-n2-long-p15,moe,2,long,1,11486,3979.916,7471.691,935.1956171939307,53.535404502140146,3722,400,408,194,48.5,32.77,80,false
wave1-moe-n2-long-p15,moe,2,long,2,6964,45.683,6898.789,87.55992382286628,57.98119061185956,4,400,376,211,52.8,32.77,76,false
wave1-moe-n2-long-p15,moe,2,long,3,7078,44.122,7015.399,90.65772177145189,57.017426948916224,4,400,381,208,52.0,32.77,76,false
wave1-moe-n2-long-p15,moe,2,long,4,6633,44.723,6570.783,89.43943832032735,60.87554557805363,4,400,354,221,55.2,32.77,76,false
