cell_id,model,n_max,penalty,prompt,run,elapsed_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,prompt_n,predicted_n,draft_n,draft_n_accepted,mtp_pct,vram_peak_gb,temp_max_c,thermal_flag
wave3-moe-n2-p00,moe,2,0.0,medium,1,3283,551.621,2717.676,790.3977549803217,59.60975480520857,436,162,156,84,51.9,33.25,74,false
wave3-moe-n2-p00,moe,2,0.0,medium,2,3162,42.013,3106.787,95.20862590150668,55.68453839931737,4,173,178,83,48.0,32.76,75,false
wave3-moe-n2-p00,moe,2,0.0,medium,3,2491,41.851,2436.454,95.5771666148957,54.58752761184902,4,133,140,62,46.6,32.76,75,false
wave3-moe-n2-p00,moe,2,0.0,medium,4,1875,42.401,1820.129,94.33739770288436,57.68821880207392,4,105,104,54,51.4,32.76,72,false
wave3-moe-n2-p00,moe,2,0.0,medium,5,4047,41.412,3992.583,96.59036028204386,57.60681744124042,4,230,230,116,50.4,32.76,73,false
wave3-moe-n2-p15,moe,2,1.5,medium,1,3979,622.949,3342.686,699.8967812774401,53.250589495992145,436,178,186,85,47.8,32.76,72,false
wave3-moe-n2-p15,moe,2,1.5,medium,2,4367,42.3,4311.553,94.56264775413712,55.20052751294023,4,238,240,117,49.2,32.76,73,false
wave3-moe-n2-p15,moe,2,1.5,medium,3,3441,42.887,3385.456,93.26835637838973,55.82704368333246,4,189,188,95,50.3,32.76,75,false
wave3-moe-n2-p15,moe,2,1.5,medium,4,2962,42.699,2905.812,93.6790088760861,53.34137239435999,4,155,162,74,47.7,32.76,74,false
wave3-moe-n2-p15,moe,2,1.5,medium,5,2814,42.182,2758.248,94.82717746906263,55.83254297655613,4,154,154,78,50.6,32.76,72,false
wave3-dense-n3-p00,dense,3,0.0,medium,1,12111,1584.503,10513.114,275.1651464213069,16.265399576186468,436,171,231,93,54.4,28.14,79,false
wave3-dense-n3-p00,dense,3,0.0,medium,2,11324,133.98,11176.683,29.855202268995374,16.999676916666598,4,190,246,108,56.8,28.14,79,false
wave3-dense-n3-p00,dense,3,0.0,medium,3,11463,134.615,11313.812,29.71437061248746,15.998144568780177,4,181,249,100,55.2,28.14,80,false
wave3-dense-n3-p00,dense,3,0.0,medium,4,11740,133.986,11592.459,29.8538653292135,18.287750683439985,4,212,255,128,60.4,28.14,81,false
wave3-dense-n3-p00,dense,3,0.0,medium,5,12283,133.499,12135.867,29.962771256713534,17.05687776571711,4,207,267,117,56.5,28.14,81,false
wave3-dense-n3-p15,dense,3,1.5,medium,1,18167,1589.94,16563.709,274.2241845604237,16.11957804861218,436,267,363,147,55.1,28.14,83,false
wave3-dense-n3-p15,dense,3,1.5,medium,2,15195,134.411,15047.773,29.759469091071416,16.281478993602576,4,245,330,134,54.7,28.14,83,false
wave3-dense-n3-p15,dense,3,1.5,medium,3,17933,135.445,17784.531,29.532282476281885,16.924820789482727,4,301,390,173,57.5,28.14,83,false
wave3-dense-n3-p15,dense,3,1.5,medium,4,12723,134.803,12574.715,29.672930127667783,14.791587721868845,4,186,276,93,50.0,28.14,84,false
wave3-dense-n3-p15,dense,3,1.5,medium,5,8620,133.661,8473.084,29.926455735031162,15.3427016656509,4,130,186,67,51.5,28.14,81,false
