cell_id,model,n_max,chain,prompt,run,elapsed_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,prompt_n,predicted_n,draft_n,draft_n_accepted,mtp_pct,vram_peak_gb,temp_max_c,thermal_flag
wave4-moe-mtp,moe,2,mtp,medium,1,3693,552.743,3126.827,788.7933451893556,52.7691490447025,436,165,174,78,47.3,33.25,75,false
wave4-moe-mtp,moe,2,mtp,medium,2,2936,42.23,2880.314,94.71939379587971,52.07765542229076,4,150,160,71,47.3,32.76,72,false
wave4-moe-mtp,moe,2,mtp,medium,3,2816,42.422,2760.333,94.29069822262035,55.0658199572298,4,152,154,75,49.3,32.76,71,false
wave4-moe-mtp,moe,2,mtp,medium,4,2737,42.679,2680.799,93.72290822184212,53.342305782716274,4,143,150,67,46.9,32.76,73,false
wave4-moe-mtp,moe,2,mtp,medium,5,3605,42.761,3549.101,93.54318187133134,52.12587638390679,4,185,198,87,47.0,32.76,75,false
wave4-moe-mtp-ng,moe,2,mtp-ng,medium,1,4000,550.194,3436.346,792.4477547919462,53.25424156938795,436,183,192,87,47.5,32.76,73,false
wave4-moe-mtp-ng,moe,2,mtp-ng,medium,2,2574,42.94,2518.397,93.15323707498835,50.03182580030075,4,126,190,63,50.0,32.83,72,false
wave4-moe-mtp-ng,moe,2,mtp-ng,medium,3,3138,42.81,3082.025,93.4361130576968,41.531136184813555,4,128,370,68,53.1,32.83,77,false
wave4-moe-mtp-ng,moe,2,mtp-ng,medium,4,4160,42.102,4105.081,95.00736307063798,50.181713832199655,4,206,328,103,50.0,32.83,73,false
wave4-moe-mtp-ng,moe,2,mtp-ng,medium,5,3488,42.767,3432.096,93.53005822246124,52.7374525654294,4,181,242,92,50.8,32.83,75,false
wave4-moe-mtp-ng-k4v,moe,2,mtp-ng-k4v,medium,1,5237,551.909,4670.984,789.9853055485596,57.58957855561055,436,269,260,138,51.3,32.76,75,false
wave4-moe-mtp-ng-k4v,moe,2,mtp-ng-k4v,medium,2,4272,42.941,4215.615,93.15106774411402,51.94971552193453,4,219,280,109,49.8,32.83,75,false
wave4-moe-mtp-ng-k4v,moe,2,mtp-ng-k4v,medium,3,3052,43.266,2995.15,92.45134747838951,51.082583510007844,4,153,266,82,53.6,32.83,73,false
wave4-moe-mtp-ng-k4v,moe,2,mtp-ng-k4v,medium,4,5241,43.779,5184.06,91.3680074921766,51.31113451619001,4,266,336,128,48.1,32.83,75,false
wave4-moe-mtp-ng-k4v,moe,2,mtp-ng-k4v,medium,5,2860,43.075,2803.67,92.86128845037724,53.501303648432234,4,150,206,79,52.7,32.83,74,false
wave4-dense-mtp,dense,3,mtp,medium,1,10770,1585.786,9170.652,274.94252061753605,17.11982964788109,436,157,201,89,56.7,28.14,82,false
wave4-dense-mtp,dense,3,mtp,medium,2,11223,135.136,11074.913,29.599810561212408,14.988831063503612,4,166,243,87,52.4,28.14,80,false
wave4-dense-mtp,dense,3,mtp,medium,3,15614,134.094,15466.182,29.829820871925666,17.06950041063787,4,264,339,152,57.6,28.14,81,false
wave4-dense-mtp,dense,3,mtp,medium,4,18339,134.818,18190.683,29.669628684597008,15.777307537050698,4,287,399,155,54.0,28.14,82,false
wave4-dense-mtp,dense,3,mtp,medium,5,11361,135.272,11212.068,29.57005145188953,15.42980295874053,4,173,246,90,52.0,28.14,82,false
wave4-dense-mtp-ng,dense,3,mtp-ng,medium,1,15160,1587.405,13559.022,274.66210576380945,16.151607394692626,436,219,297,120,54.8,28.14,85,false
wave4-dense-mtp-ng,dense,3,mtp-ng,medium,2,12486,136.781,12335.306,29.243827724610874,15.889350454702948,4,196,319,112,57.1,28.28,82,false
wave4-dense-mtp-ng,dense,3,mtp-ng,medium,3,7665,134.821,7517.001,29.66896848413823,14.367431905356938,4,108,165,52,48.1,28.28,80,false
wave4-dense-mtp-ng,dense,3,mtp-ng,medium,4,11629,134.606,11481.116,29.71635736891372,16.287615245765306,4,187,301,108,57.8,28.28,81,false
wave4-dense-mtp-ng,dense,3,mtp-ng,medium,5,12335,135.187,12186.863,29.588643878479438,16.000836310377824,4,195,319,109,55.9,28.28,81,false
wave4-dense-mtp-ng-k4v,dense,3,mtp-ng-k4v,medium,1,13089,1587.09,11487.627,274.7166197254094,14.450329907125292,436,166,252,81,48.8,28.14,83,false
wave4-dense-mtp-ng-k4v,dense,3,mtp-ng-k4v,medium,2,12113,135.087,11964.141,29.61054727694005,15.96437220189899,4,191,313,107,56.0,28.28,81,false
wave4-dense-mtp-ng-k4v,dense,3,mtp-ng-k4v,medium,3,10682,134.419,10534.196,29.757697944487013,15.663274159698567,4,165,231,90,54.5,28.28,81,false
wave4-dense-mtp-ng-k4v,dense,3,mtp-ng-k4v,medium,4,14400,134.378,14252.472,29.766777299855633,16.698857573619513,4,238,364,138,58.0,28.28,83,false
wave4-dense-mtp-ng-k4v,dense,3,mtp-ng-k4v,medium,5,14211,133.821,14064.257,29.890674856711577,15.286978899774088,4,215,459,122,56.7,28.28,83,false
